id,exerciseName,category,primaryMuscles,secondaryMuscles,equipment,difficulty,description,instructions,imageUrl,detailImageUrl
ex016,Farmers Carry,Conditioning,Forearms|Traps|Core,Shoulders|Glutes,Dumbbells,Beginner,"Loaded carry for grip strength and trunk stability","Hold heavy implements at your sides, stand tall, brace your core, and walk with controlled steps.",/images/exercises/farmers-carry.png,/images/exercises/details/farmers-carry-detail.png
ex017,Sandbag Lunges,Legs,Quadriceps|Glutes|Hamstrings,Core|Calves,Sandbag,Intermediate,"Loaded lunge variation using a sandbag","Hold the sandbag securely, step into each lunge, keep your front knee tracking well, and stand with control.",/images/exercises/sandbag-lunges.png,/images/exercises/details/sandbag-lunges-detail.png
ex018,Wall Balls,Conditioning,Quadriceps|Glutes|Shoulders,Chest|Core,Medicine Ball,Intermediate,"Squat and throw movement for conditioning and power","Squat with the ball at chest height, drive upward, throw to the target, catch smoothly, and repeat.",/images/exercises/wall-balls.png,/images/exercises/details/wall-balls-detail.png
ex019,Incline Bench Press,Chest,Upper Chest|Triceps|Shoulders,Core,Barbell,Intermediate,"Incline pressing movement for upper chest strength","Set the bench on an incline, lower the bar to the upper chest, press upward, and keep your shoulder blades set.",/images/exercises/incline-bench-press.png,/images/exercises/details/incline-bench-press-detail.png
ex020,Bend-Over Rows,Back,Lats|Upper Back|Biceps,Rear Delts|Core,Barbell,Intermediate,"Hinged rowing movement for back strength","Hinge at the hips, keep your spine neutral, row the weight toward your torso, and lower with control.",/images/exercises/bend-over-rows.png,/images/exercises/details/bend-over-rows-detail.png
ex021,Overhead Press,Shoulders,Shoulders|Triceps,Upper Chest|Core,Barbell,Intermediate,"Standing press for shoulder and triceps strength","Start with the bar at shoulder height, brace your core, press overhead, and lower under control.",/images/exercises/overhead-press.png,/images/exercises/details/overhead-press-detail.png
ex022,Face Pulls,Shoulders,Rear Delts|Upper Back,Rotator Cuff|Traps,Cable,Beginner,"Cable pull for rear delts and shoulder health","Set the cable high, pull toward your face with elbows wide, squeeze the upper back, and return slowly.",/images/exercises/face-pulls.png,/images/exercises/details/face-pulls-detail.png
ex023,Squat,Legs,Quadriceps|Glutes|Hamstrings,Core|Lower Back,Barbell,Beginner,"Lower-body squat pattern for strength and control","Brace your core, sit down between your hips, keep your knees tracking over your feet, and drive back up.",/images/exercises/squat.png,/images/exercises/details/squat-detail.png
ex024,Leg Press,Legs,Quadriceps|Glutes|Hamstrings,Calves,Machine,Beginner,"Machine-based lower-body pressing exercise","Place your feet on the platform, lower with control, press through your feet, and avoid locking the knees hard.",/images/exercises/leg-press.png,/images/exercises/details/leg-press-detail.png
ex025,Seated Calf Raises,Legs,Calves,Soleus,Machine,Beginner,"Seated calf movement emphasizing the soleus","Set the pads above your knees, lower your heels under control, rise onto your toes, and squeeze at the top.",/images/exercises/seated-calf-raises.png,/images/exercises/details/seated-calf-raises-detail.png
ex026,Hamstring Curl,Legs,Hamstrings,Calves,Machine,Beginner,"Isolation exercise for hamstring strength","Set the pad above your heels, curl toward your glutes, pause briefly, and return with control.",/images/exercises/hamstring-curl.png,/images/exercises/details/hamstring-curl-detail.png
ex027,Cycling,Conditioning,Quadriceps|Glutes|Hamstrings,Calves|Core,Machine,Beginner,"Bike-based conditioning for endurance and intervals","Set the seat height, pedal smoothly, keep your torso steady, and match resistance to the target effort.",/images/exercises/cycling.png,/images/exercises/details/cycling-detail.png
ex028,Arnold Press,Shoulders,Shoulders|Triceps,Upper Chest|Core,Dumbbells,Intermediate,"Rotating dumbbell press for shoulder development","Start palms facing you, rotate as you press overhead, finish tall, and reverse the motion under control.",/images/exercises/arnold-press.png,/images/exercises/details/arnold-press-detail.png
ex029,Cable Fly,Chest,Chest,Shoulders|Biceps,Cable,Beginner,"Cable chest isolation movement","Set the pulleys, keep a slight bend in your elbows, bring your hands together, and control the stretch.",/images/exercises/cable-fly.png,/images/exercises/details/cable-fly-detail.png
ex030,Lateral Raises,Shoulders,Side Delts,Traps|Core,Dumbbells,Beginner,"Shoulder isolation movement for side delts","Hold dumbbells at your sides, raise to shoulder height with soft elbows, pause, and lower slowly.",/images/exercises/lateral-raises.png,/images/exercises/details/lateral-raises-detail.png
ex031,Dips,Chest,Chest|Triceps|Shoulders,Core,Bodyweight,Intermediate,"Bodyweight pressing movement using parallel bars","Support yourself on the bars, lower with control, keep shoulders stable, and press back to the top.",/images/exercises/dips.png,/images/exercises/details/dips-detail.png
ex032,Tricep Pushdowns,Arms,Triceps,Forearms,Cable,Beginner,"Cable isolation exercise for triceps","Pin your elbows at your sides, press the handle down, squeeze the triceps, and return without swinging.",/images/exercises/tricep-pushdowns.png,/images/exercises/details/tricep-pushdowns-detail.png
ex033,Chest-Supported Rows,Back,Lats|Upper Back|Biceps,Rear Delts,Dumbbells,Beginner,"Supported row variation that reduces lower-back demand","Lie chest-down on an incline bench, row the weights toward your ribs, squeeze, and lower with control.",/images/exercises/chest-supported-rows.png,/images/exercises/details/chest-supported-rows-detail.png
ex034,Lat Pulldowns,Back,Lats|Biceps|Upper Back,Rear Delts,Cable,Beginner,"Vertical pulling exercise for back strength","Grip the bar, pull your elbows down toward your sides, bring the bar to upper chest height, and return slowly.",/images/exercises/lat-pulldowns.png,/images/exercises/details/lat-pulldowns-detail.png
ex035,Seated Cable Rows,Back,Lats|Upper Back|Biceps,Rear Delts|Core,Cable,Beginner,"Seated horizontal pull for back development","Sit tall, pull the handle toward your torso, squeeze your shoulder blades, and extend with control.",/images/exercises/seated-cable-rows.png,/images/exercises/details/seated-cable-rows-detail.png
ex036,Rear Delt Fly,Shoulders,Rear Delts|Upper Back,Traps,Dumbbells,Beginner,"Isolation movement for rear delts and upper back","Hinge or use a bench, raise the weights out to the sides, squeeze the rear delts, and lower slowly.",/images/exercises/rear-delt-fly.png,/images/exercises/details/rear-delt-fly-detail.png
ex037,Bicep Curls,Arms,Biceps,Forearms,Dumbbells,Beginner,"Arm isolation exercise for biceps","Keep elbows near your sides, curl the weight up, squeeze the biceps, and lower without swinging.",/images/exercises/bicep-curls.png,/images/exercises/details/bicep-curls-detail.png
ex038,Hammer Curls,Arms,Biceps|Brachialis,Forearms,Dumbbells,Beginner,"Neutral-grip curl for arms and forearms","Hold dumbbells with palms facing in, curl without swinging, pause at the top, and lower with control.",/images/exercises/hammer-curls.png,/images/exercises/details/hammer-curls-detail.png
ex039,Shrugs,Back,Traps,Forearms|Shoulders,Dumbbells,Beginner,"Trap-focused shoulder elevation exercise","Hold the weight at your sides, lift your shoulders upward, pause briefly, and lower under control.",/images/exercises/shrugs.png,/images/exercises/details/shrugs-detail.png
ex040,Front Squat,Legs,Quadriceps|Glutes|Core,Upper Back,Barbell,Intermediate,"Front-loaded squat variation for legs and trunk strength","Rack the bar on the front of your shoulders, keep elbows high, squat down, and drive up through midfoot.",/images/exercises/front-squat.png,/images/exercises/details/front-squat-detail.png
ex041,Bulgarian Split Squats,Legs,Quadriceps|Glutes|Hamstrings,Core|Calves,Dumbbells,Intermediate,"Rear-foot elevated single-leg squat","Place one foot behind you on a bench, lower the back knee, drive through the front foot, and keep control.",/images/exercises/bulgarian-split-squats.png,/images/exercises/details/bulgarian-split-squats-detail.png
ex042,Hip Thrusts,Legs,Glutes|Hamstrings,Core,Barbell,Beginner,"Glute-focused hip extension exercise","Set your upper back on a bench, drive through your heels, extend your hips, squeeze, and lower with control.",/images/exercises/hip-thrusts.png,/images/exercises/details/hip-thrusts-detail.png
ex043,Box Jumps,Conditioning,Quadriceps|Glutes|Calves,Hamstrings|Core,Box,Intermediate,"Explosive jump movement for power and conditioning","Load your hips, jump onto the box, land softly with control, stand tall, and step down safely.",/images/exercises/box-jumps.png,/images/exercises/details/box-jumps-detail.png
ex044,Standing Calf Raises,Legs,Calves,Core,Machine,Beginner,"Standing calf movement emphasizing gastrocnemius strength","Stand tall, lower your heels through a full range, rise onto your toes, pause, and lower slowly.",/images/exercises/standing-calf-raises.png,/images/exercises/details/standing-calf-raises-detail.png
ex045,Planks,Core,Core,Shoulders|Glutes,Bodyweight,Beginner,"Static hold for core stability","Set elbows under shoulders, brace your abs and glutes, and hold a straight line from head to heels.",/images/exercises/planks.png,/images/exercises/details/planks-detail.png
ex046,Cable Kickbacks,Legs,Glutes,Hamstrings|Core,Cable,Beginner,"Cable isolation movement for glutes","Attach the ankle strap, brace your torso, kick the working leg back, squeeze the glute, and return slowly.",/images/exercises/cable-kickbacks.png,/images/exercises/details/cable-kickbacks-detail.png
ex047,Step Ups,Legs,Quadriceps|Glutes|Hamstrings,Calves|Core,Dumbbells,Beginner,"Single-leg movement using a bench or box","Place one foot on the box, drive through that heel, stand tall, and step down with control.",/images/exercises/step-ups.png,/images/exercises/details/step-ups-detail.png
ex048,Kettlebell Deadlift,Legs,Hamstrings|Glutes|Back,Core,Kettlebell,Beginner,"Beginner-friendly hip hinge using a kettlebell","Stand over the kettlebell, hinge with a neutral spine, grip the handle, drive through your feet, and stand tall.",/images/exercises/kettlebell-deadlift.png,/images/exercises/details/kettlebell-deadlift-detail.png
ex049,Goblet Squats,Legs,Quadriceps|Glutes|Hamstrings,Core,Kettlebell,Beginner,"Front-loaded squat variation using a dumbbell or kettlebell","Hold the weight at your chest, squat between your hips, keep your torso tall, and drive back up.",/images/exercises/goblet-squats.png,/images/exercises/details/goblet-squats-detail.png
ex050,Push Ups,Chest,Chest|Triceps|Shoulders,Core,Bodyweight,Beginner,"Bodyweight pressing movement for upper-body strength","Set hands under shoulders, keep your body straight, lower your chest, and press back up with control.",/images/exercises/push-ups.png,/images/exercises/details/push-ups-detail.png
ex051,Battle Ropes,Conditioning,Shoulders|Arms|Core,Back|Glutes,Ropes,Intermediate,"High-intensity conditioning movement using ropes","Hold the rope ends, brace your core, create powerful waves, and keep a steady athletic stance.",/images/exercises/battle-ropes.png,/images/exercises/details/battle-ropes-detail.png
ex052,Leg Extensions,Legs,Quadriceps,Hip Flexors,Machine,Beginner,"Machine isolation exercise for quadriceps","Set the pad above your ankles, extend your knees, squeeze the quads, and lower slowly.",/images/exercises/leg-extensions.png,/images/exercises/details/leg-extensions-detail.png
ex053,One-arm Dumbbell Rows,Back,Lats|Upper Back|Biceps,Rear Delts|Core,Dumbbells,Beginner,"Single-arm rowing movement for back strength","Brace one hand on a bench, row the dumbbell toward your hip, squeeze, and lower with control.",/images/exercises/one-arm-dumbbell-rows.png,/images/exercises/details/one-arm-dumbbell-rows-detail.png
